stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
Birkenhead,1986,2,0,0.024019,0.869228,0.315301,1.208548,0.197841,NA
Birkenhead,1987,3,0,0.005671,0.6983,0.279598,0.983569,0.089492,NA
Birkenhead,1988,4,0,0.029507,0.200724,0.664723,0.894954,0.075537,NA
Birkenhead,1989,1,0,0.036435,0.935181,0.173958,1.145574,0.01569,NA
Birkenhead,1990,2,0,0.010179,0.200407,0.024968,0.235554,0.097108,NA
Birkenhead,1991,3,0,0.000244,0.05527,0.061746,0.11726,0.152077,NA
Birkenhead,1992,4,0,0.003522,0.047661,0.046563,0.097746,0.093445,NA
Birkenhead,1993,1,0,0.008716,0.180208,0.380162,0.569086,0.151089,NA
Birkenhead,1994,2,0,0.001028,0.021899,0.040686,0.063613,0.022315,NA
Birkenhead,1995,3,0,0.000486,0.141021,0.028997,0.170504,0.018407,NA
Birkenhead,1996,4,0,0.000723,0.034094,0.041519,0.076336,0.027824,NA
Birkenhead,1997,1,0,0,0.018165,0.0102,0.028365,0.023274,NA
Birkenhead,1998,2,0,0.000277,0.213323,0.403021,0.616621,0.172997,NA
Birkenhead,1999,3,0,0,0.047311,0.036027,0.083338,0.02622,NA
Birkenhead,2000,4,0,0.000652,0.06371,0.037603,0.101965,0.008333,NA
Birkenhead,2001,1,0,0.000056,0.110415,0.081203,0.191674,0.028361,NA
Birkenhead,2002,2,0,0.000898,0.502582,0.129934,0.633414,0.107481,NA
Birkenhead,2003,3,0,0.00008,0.006064,0.00701,0.013154,0.152657,NA
Birkenhead,2004,4,0,0.000047,0.046487,0.03006873,0.07660273,0.017516,NA
Birkenhead,2005,1,0,0.000361,0.033246725,0.051506904,0.085114629,0.027117,NA
Birkenhead,2006,2,NA,NA,NA,NA,NA,0.137365,NA
Birkenhead,2007,3,NA,NA,NA,NA,NA,0.05429,NA
Birkenhead,2008,4,NA,NA,NA,NA,NA,0.006788,NA
Birkenhead,2009,1,NA,NA,NA,NA,NA,0.034475,NA
Birkenhead,2010,2,NA,NA,NA,NA,NA,0.067762,NA
Birkenhead,2011,3,NA,NA,NA,NA,NA,0.09242,NA
Birkenhead,2012,4,NA,NA,NA,NA,NA,0.002505,NA
Cultus,1948,4,0,0,0.03782,0.001256,0.039076,NA,NA
Cultus,1949,1,0,0.001662,0.037489,0,0.039151,NA,NA
Cultus,1950,2,0,0.003623,0.101664,0,0.105287,NA,NA
Cultus,1951,3,0,0.003498,0.166043,0.004527,0.174068,NA,0.388873
Cultus,1952,4,0,0.000159,0.032999,0.011266,0.044424,NA,0.620213
Cultus,1953,1,0,0.000497,0.062317,0.000855,0.063669,NA,NA
Cultus,1954,2,0,0.001631,0.061631,0.001933,0.065195,NA,1.903296
Cultus,1955,3,0,0.00161,0.27449,0.001184,0.277284,NA,2.688063
Cultus,1956,4,0,0.001273,0.035165,0.001067,0.037505,NA,0.97612
Cultus,1957,1,0,0.000095,0.026724,0.001264,0.028083,NA,0.319495
Cultus,1958,2,0,0.003547,0.046269,0.001097,0.050913,NA,1.427228
Cultus,1959,3,0,0.000114,0.050631,0.001449,0.052194,NA,1.327842
Cultus,1960,4,0,0.000483,0.022606,0.000414,0.023503,NA,1.025404
Cultus,1961,1,0,0.000194,0.005954,0,0.006148,NA,1.200498
Cultus,1962,2,0,0.000524,0.035483,0,0.036007,NA,NA
Cultus,1963,3,0,0.003825,0.131466,0.003157,0.138448,NA,NA
Cultus,1964,4,0,0.001357,0.067696,0.00155,0.070603,NA,NA
